starttime	seconds	ctime	dtime	ttime	wait
Sat Feb 03 23:26:52 2024	1706982112	0	45	45	44
Sat Feb 03 23:26:51 2024	1706982111	0	45	45	44
Sat Feb 03 23:26:50 2024	1706982110	0	45	45	35
Sat Feb 03 23:26:52 2024	1706982112	0	45	45	44
Sat Feb 03 23:26:52 2024	1706982112	0	45	45	43
Sat Feb 03 23:26:53 2024	1706982113	0	45	45	44
Sat Feb 03 23:26:50 2024	1706982110	0	45	45	44
Sat Feb 03 23:26:52 2024	1706982112	0	45	45	44
Sat Feb 03 23:26:50 2024	1706982110	0	45	45	43
Sat Feb 03 23:26:54 2024	1706982114	0	45	45	41
Sat Feb 03 23:26:54 2024	1706982114	0	45	45	44
Sat Feb 03 23:26:51 2024	1706982111	0	45	45	44
Sat Feb 03 23:26:55 2024	1706982115	0	45	45	44
Sat Feb 03 23:26:52 2024	1706982112	0	45	45	44
Sat Feb 03 23:26:55 2024	1706982115	0	45	45	45
Sat Feb 03 23:26:54 2024	1706982114	0	45	45	43
Sat Feb 03 23:26:52 2024	1706982112	0	45	45	42
Sat Feb 03 23:26:54 2024	1706982114	0	45	45	43
Sat Feb 03 23:26:54 2024	1706982114	0	45	45	42
Sat Feb 03 23:26:52 2024	1706982112	0	45	46	43
Sat Feb 03 23:26:54 2024	1706982114	0	45	46	42
Sat Feb 03 23:26:54 2024	1706982114	0	45	46	43
Sat Feb 03 23:26:52 2024	1706982112	0	46	46	44
Sat Feb 03 23:26:54 2024	1706982114	0	46	46	33
Sat Feb 03 23:26:54 2024	1706982114	0	46	46	42
Sat Feb 03 23:26:54 2024	1706982114	0	46	46	38
Sat Feb 03 23:26:54 2024	1706982114	0	46	46	44
Sat Feb 03 23:26:55 2024	1706982115	0	46	46	44
Sat Feb 03 23:26:54 2024	1706982114	0	46	46	43
Sat Feb 03 23:26:55 2024	1706982115	0	46	46	44
Sat Feb 03 23:26:53 2024	1706982113	0	46	46	45
Sat Feb 03 23:26:55 2024	1706982115	0	46	46	44
Sat Feb 03 23:26:55 2024	1706982115	1	46	46	44
Sat Feb 03 23:26:55 2024	1706982115	0	46	46	45
Sat Feb 03 23:26:54 2024	1706982114	0	46	46	44
Sat Feb 03 23:26:52 2024	1706982112	0	46	46	45
Sat Feb 03 23:26:51 2024	1706982111	0	46	46	44
Sat Feb 03 23:26:52 2024	1706982112	0	46	46	45
Sat Feb 03 23:26:54 2024	1706982114	0	46	46	44
Sat Feb 03 23:26:51 2024	1706982111	0	46	47	46
Sat Feb 03 23:26:52 2024	1706982112	0	47	47	42
Sat Feb 03 23:26:53 2024	1706982113	0	47	47	45
Sat Feb 03 23:26:55 2024	1706982115	0	47	47	45
Sat Feb 03 23:26:51 2024	1706982111	0	47	47	46
Sat Feb 03 23:26:51 2024	1706982111	0	47	47	46
Sat Feb 03 23:26:54 2024	1706982114	0	46	47	43
Sat Feb 03 23:26:54 2024	1706982114	0	47	47	45
Sat Feb 03 23:26:52 2024	1706982112	0	47	47	46
Sat Feb 03 23:26:52 2024	1706982112	0	47	47	40
Sat Feb 03 23:26:53 2024	1706982113	0	47	47	44
